"WindSpeed.ms","Power.kW","ThrustCoefficient"
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,0,0
3.5,20,1.15
3.75,30,1.09
4,43,1.03
4.25,61,1
4.5,83,0.97
4.75,106,0.94
5,131,0.91
5.25,157,0.905
5.5,185,0.9
5.75,216,0.895
6,250,0.89
6.25,287,0.89
6.5,326,0.89
6.75,369,0.89
7,416,0.89
7.25,467,0.885
7.5,521,0.88
7.75,577,0.875
8,640,0.87
8.25,711,0.8525
8.5,785,0.835
8.75,855,0.8175
9,924,0.8
9.25,994,0.7725
9.5,1062,0.745
9.75,1124,0.7175
10,1181,0.69
10.25,1234,0.655
10.5,1283,0.62
10.75,1325,0.585
11,1359,0.55
11.25,1383,0.5175
11.5,1402,0.485
11.75,1420,0.4525
12,1436,0.42
12.25,1451,0.395
12.5,1463,0.37
12.75,1473,0.345
13,1481,0.32
13.25,1485,0.3025
13.5,1488,0.285
13.75,1491,0.2675
14,1494,0.25
14.25,1498,0.2375
14.5,1500,0.225
14.75,1500,0.2125
15,1500,0.2
15.25,1500,0.1925
15.5,1500,0.185
15.75,1500,0.1775
16,1500,0.17
16.25,1500,0.1625
16.5,1500,0.155
16.75,1500,0.1475
17,1500,0.14
17.25,1500,0.135
17.5,1500,0.13
17.75,1500,0.125
18,1500,0.12
18.25,1500,0.115
18.5,1500,0.11
18.75,1500,0.105
19,1500,0.1
19.25,1500,0.0975
19.5,1500,0.095
19.75,1500,0.0925
20,1500,0.09
20.25,1500,0.085
20.5,1500,0.08
20.75,1500,0.075
21,1500,0.07
21.25,1500,0.07
21.5,1500,0.07
21.75,1500,0.07
22,1500,0.07
22.25,1500,0.0675
22.5,1500,0.065
22.75,1500,0.0625
23,1500,0.06
23.25,1500,0.0575
23.5,1500,0.055
23.75,1500,0.0525
24,1500,0.05
24.25,1500,0.05
24.5,1500,0.05
24.75,1500,0.05
25,1500,0.05
25.25,0,0
25.5,0,0
25.75,0,0
26,0,0
26.25,0,0
26.5,0,0
26.75,0,0
27,0,0
27.25,0,0
27.5,0,0
27.75,0,0
28,0,0
28.25,0,0
28.5,0,0
28.75,0,0
29,0,0
29.25,0,0
29.5,0,0
29.75,0,0
30,0,0
